OBJEKTKEY;FIRMA;PROGRAMM;ABTEILUNG;USERNAME;STRASSE;POSTLEITZAHL;ORT;TEL FIRMA;FAX FIRMA;TEL USER;USER FUNKTION;ANZAHL MITARB;USER eMAIL;WEITERGABE;FIRMA WWW;PRG VERSION;PRG ANZ USER;PRG MODULE;PRG LIZENZ;PRG PREIS EURO;PRG WART NR;PRG WART GEBUEHR;PRG WART ART;PRG WART %SATZ;ABSCHL DAT;KUEND DAT;KDBER USERNAME;KDBER USERKENN;PRG ANZ MAN;RE FIRMA;RE ABTEILUNG;RE USERNAME;RE STRASSE;RE POSTLEITZAHL;RE ORT;BEST NR;BEST DAT;BEST NAME;RE ANZ COPIES
100000267;March;;Johan de Meij;;;;;;;;;259;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000211;March of the Herald in Swing;;Nicholls-Kokelaar;;;;;;;;;203;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000379;Mars der Medici;;Joh. Wichers;;;;;;;;;368;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000307;Marsch-Konfetti;;Xaver Lecheier;;;;;;;;;295;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000292;Marschparade mit Robet Stolz;;Franz Bummerl;;;;;;;;;284;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000340;Marta-Polka;;Siegfried Rundel;;;;;;;;;331;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000418;Mary´s Boy child;;Jester Hairston;;;;;;;;;400;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000261;Maske in Blau;;Erich Gutzeit;;;;;;;;;253;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000177;Matrimony;;Roland Kernen;;;;;;;;;170;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000192;Matrozenkoor;;Wagner van Yperen;;;;;;;;;184;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000405;Maxi / Mini;;Jan de Haan;;;;;;;;;392;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000050;Mehr losse d`r Dom in kölle;;Peter Züll;;;;;;;;;48;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000493;Mein kleiner gruener Kaktus;S. MUELLER;;;;;;;;;;274;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000553;Melodienfolge;;Franz Lehar;;;;;;;;;533;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000204;Memories in Swing;ORIGIANLE VORHANDEN;Auer-Ansbach;;;;;;;;;196;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000567;Memories of Henry Mancini;;Toshio Mashima;;;;;;;;;546;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000287;Menue a la James;ORIGINALE VORHANDEN;Rudi Seifert-Kressbronn;;;;;;;;;279;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000486;Mission Impossible Theme;;Johnnie Vinson;;;;;;;;;467;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000275;Mister Dixie;;Willi Löfler;;;;;;;;;267;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000426;Mit Hörner und Trompetenklang;;Hans Janssen;;;;;;;;;408;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000309;Mit Polkas um die Welt;;Hans Kolditz;;;;;;;;;297;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000384;Mit Sang und Klang;;Joh. Brussig;;;;;;;;;373;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000238;Moment for Morricone;;Mey;;;;;;;;;230;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000563;Moon River;;Roberto di Marino;;;;;;;;;542;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000332;Moonlight;;Calvin Custer;;;;;;;;;323;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000142;Morgens um sieben;ORIGNALE VORHANDEN;John Mortimer;;;;;;;;;136;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000482;Mount Everest;;Kees Vlak;;;;;;;;;463;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000291;Movie Spectaculares;;Frank Bernaerts;;;;;;;;;283;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000207;Muppet-Show;;Unbekannt;;;;;;;;;199;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000330;Murzel und Purzel;;Hans Löhr;;;;;;;;;321;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000045;Music;;John Miles;;;;;;;;;44;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000317;Music for a Celebration;ORIGNALE VORHANDEN;Dirk Brosse;;;;;;;;;308;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000521;Music for fun;;Kees Schoonenbeek;;;;;;;;;502;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000074;Music from Toy Story 2;;Jay Bocook;;;;;;;;;71;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000390;Musica Gloriosa;;Alfred Bösendorfer;;;;;;;;;343;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000383;Musik für feierliche Anlässe;;H. Egidius;;;;;;;;;372;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000539;Musik ist Trumpf;;Manfred Schneider;;;;;;;;;518;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000437;Muziek voor jonge Blazers;;Henk van de Lijnschooten;;;;;;;;;419;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000087;My Fair Lady;;John Moss;;;;;;;;;84;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000128;My Heart will go on;;Richard Saucedo;;;;;;;;;123;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000487;My heart will go on;;Richard Saucedo;;;;;;;;;468;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000029;Mährische Geschichten;;Jan Moravec;;;;;;;;;28;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000376;Nabucco;;Horst Verhey;;;;;;;;;365;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000351;Nachtschwärmer;;Walter Heyer;;;;;;;;;342;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000058;National Emblem;ORIGINALE VORHANDEN;Frederick Fennell;;;;;;;;;56;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000527;Nessaja;ORIGINALE KOMPLETT;Kurt Gaeble;;;;;;;;;506;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000110;New Baroque Suite;;Ted Huggens;;;;;;;;;106;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000266;Nikolaus Lieder;;viele;;;;;;;;;258;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000322;O mein Papa!;;Walter Schacht;;;;;;;;;313;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000492;Oblivion;ASTOR PIAZZOLLA;;;;;;;;;;491;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000554;Oklahoma;;Rodgers-Hammerstein;großes Orchester;;;;;;;;564;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000066;Oldies Night;ORIGINALE VORHANDEN;Manfred Schneider;;;;;;;;;63;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000451;Olympiade Marsch;;Jaroslav Labsky;;;;;;;;;433;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000452;One Hand one Heart;;David Marshall;;;;;;;;;434;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000039;One Moment in time;;John Higgins;;;;;;;;;38;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000258;Open Air Festival;;Mike Costello;;;;;;;;;65;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000298;Operettenzauber;;Hans Kolditz;;;;;;;;;289;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000296;Opernwalzer;;Hans Kolditz;;;;;;;;;288;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000094;Oregon;;Jacob de haan;;;;;;;;;91;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000280;Ouverture zu Dichter und Bauer;;Max Hempel;;;;;;;;;272;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000460;Over and Out;;R. Beck;;;;;;;;;442;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000032;Panis Angelikus;;Phillip Sparke;;;;;;;;;31;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000544;Paris Montmatre;;Toshio Mashima;;;;;;;;;524;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000228;Paul Abraham Welterfolge;;Willi Löffler;;;;;;;;;220;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000212;Pavane in Blue;;Ted Huggens;;;;;;;;;204;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000461;Peer Gynt Suite;;James Curnow;;;;;;;;;443;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000294;Per aspera ad astra;ORIGNALE VORHANDEN;M. Rhode;;;;;;;;;286;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000293;Perlen der Karibik;;Haeussler;;;;;;;;;285;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000067;Petersburger Schlittenfahrt;;Thorsten Reinau;;;;;;;;;64;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000523;Phil Collins live;WALTER RATZEK;KOMPLETT;;;;;;;;;504;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000496;Pirates of the Caribean;KLAUS BADELT;Origenale komplett;;;;;;;;;477;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000339;Pizza wundaba;;Vlad Kabec;;;;;;;;;330;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000538;Planckendael;;Randy Beck;;;;;;;;;517;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000163;Pocahontas;ORIGINALE VORHANDEN;Andre Waignein;;;;;;;;;156;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000125;Polka - Party mit Captain James;;Lothar Gottlöber;;;;;;;;;120;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000403;Polonaese Blankenese;;Werner Boehm-Thorn;;;;;;;;;391;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000345;Pomp and Circumstance;;Eric Osterling;;;;;;;;;336;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000536;Posaunenstimme Marschbuch;;;;;;;;;;;515;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000054;Praester Land;;hans Franz;;;;;;;;;52;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000198;Prager Leben;;Gerald Weinkopf;;;;;;;;;190;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000436;Preußens Gloria Marsch;;G. Piefke;;;;;;;;;418;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000021;Prister Koor;;Mozart;;;;;;;;;20;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000023;Pristermarsch;;Mozart;;;;;;;;;22;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000153;Prost Stimmung;;Norbert Studnitzky;;;;;;;;;146;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000178;Queen in Concert;;Jay Bocook;;;;;;;;;171;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000013;Radetzki Marsch;;Johann Strauß;;;;;;;;;12;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000124;Radetzky forever;;Rieks van der Velde;;;;;;;;;119;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000583;Radetzky-Marsch;;J Strauß;;;;;;;;;562;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000148;Rakoczy Marsch;;Philip Gordon;;;;;;;;;142;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000318;Rauschende Birken;;Franz Pollak;;;;;;;;;309;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000047;Regimentsgruß;;Heinrich Steinbeck;;;;;;;;;46;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000018;Regimentskinder;;Franz Watz;;;;;;;;;17;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000127;Register-Show;;Willy Lange;;;;;;;;;122;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000247;Rendezvous bei Lehar;;Hans Mielenz;;;;;;;;;239;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000360;Revue Marsch;;A. Recking;;;;;;;;;350;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000164;Rhapsody in blue;;Naohiro Iwai;;;;;;;;;157;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000483;River of the Ancients;;Michael Sweeny;;;;;;;;;464;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000545;Rock around the clock;;Norman Tailor;;;;;;;;;525;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000316;Rocking for Piccolo;;Josef Börnisch;;;;;;;;;307;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000286;Rocky Top;;unbekannt;;;;;;;;;278;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000395;Romance;;Johan de Meij;;;;;;;;;383;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000442;Ross Roy;;Jakob de Haan;;;;;;;;;424;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000185;Rossini;;Walter Tuschla;;;;;;;;;177;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000434;Rossinis Birthday Party;ORIGNALE VORHANDEN;Henk van Lijnschooten;;;;;;;;;416;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000088;Rudolph, the red nose reindeer;;Naohiro Iwai;;;;;;;;;85;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000086;Rut sin die Ruse;;Peter Züll;;;;;;;;;83;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000559;Saga Maligna;;Bert Appermont;;;;;;;;;538;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000569;Saint Triphon Marsch;;A. Ney;;;;;;;;;548;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000522;Saluto Lugano;SIEGFRIED RUNDEL;Komplett;;;;;;;;;503;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000328;Samba de Janeiro;;Andre Waignein;;;;;;;;;319;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000463;San Carlo;;Oscar Tschuor;;;;;;;;;445;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000225;Sandpaper Ballet;;Hans van der Heide;;;;;;;;;217;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000234;Satisfaction;;Peter Laine;;;;;;;;;226;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000256;Schiff ahoi  1+2;;Rudi Seifert-Kressbronn;;;;;;;;;248;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000333;Schlagerparade im Marschrhythmus;;Hans Kolditz;;;;;;;;;324;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000299;Schunkelparade;;S. Rundel;;;;;;;;;290;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000297;Schwarzwaldmaedel;;Leon Jessel;;;;;;;;;288;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000566;Schwyzer-Soldaten;;Ernst Lüthold;;;;;;;;;545;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000337;Schöne Erinnerungen;;H. Egidius;;;;;;;;;328;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000141;Schötzefess;;Bernd Classen;;;;;;;;;135;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000101;Schützenmarsch;;Text und Musik Erich Kasterke;;;;;;;;;97;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000475;Scoop;;Hans Czettel;;;;;;;;;456;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000519;Seeteufel Graf Luckner Marsch;;Walter Heyer;;;;;;;;;500;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000347;Sehnsuchtsmelodie;;Walter Scholz;;;;;;;;;338;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000303;Selections from Mama Mia;ORIGINALE VORHANDEN;Michael Brown;;;;;;;;;299;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000484;Selections from Mary Poppins;;Ted Ricketts;;;;;;;;;465;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000501;Selections fromStarlight espress;JERRY NOWAK;;;;;;;;;;482;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000203;Shrek Dance Party;;Paul Murtha;;;;;;;;;195;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000467;Sierra Madre;ORIGIANLE VORHANDEN;Horst Verhey;;;;;;;;;449;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000071;Silberfäden;;Rudi Seifert;;;;;;;;;68;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000260;Silberne Operette;;Willi Löffler;;;;;;;;;252;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000034;Simon and Garfunkel;;Paul Simon;;;;;;;;;33;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000239;Singin in the Rain;;Rieks van der Velde;;;;;;;;;231;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000196;Slawa Fantasie;;Gustav Lotterer;;;;;;;;;188;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000506;So schoen ist boehmen;FRANK PLEYER;;;;;;;;;;486;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000230;Solisten-Medley;;Hans Kolditz;;;;;;;;;222;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000362;Song and Cance;;Andre Waignein;;;;;;;;;352;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000479;Song of Praise;;Alfred Boesendorfer;;;;;;;;;460;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000273;Sousa Fravorite;;Walter Tuschla;;;;;;;;;265;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000415;South of the Rio;;J. Olivadoti;;;;;;;;;399;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000355;Souvenir de Lobith;;W. G. Derksen;;;;;;;;;346;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000542;Spirit of 69;;Kurt Gäble;;;;;;;;;520;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000244;Spiritual Moments;;Dizzy Stratford;;;;;;;;;236;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000063;Stand by me;;Andrew Watkin;;;;;;;;;60;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000346;Standschützen-Marsch;;Sepp Tanzer;;;;;;;;;337;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000126;Starparade;;Hans Kolditz;;;;;;;;;121;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000009;Stelldich ein in Oberkrain;;Siegfried Rundel;;;;;;;;;9;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000216;Sterne der heiligen Nacht;;Hans Franz;;;;;;;;;208;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
